"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Quantity","Description"
"GSB316441CEU","Amphenol Commercial Products","GSB316441CEUCT-ND","J2","1","USB 3.0 CONN TYPE A R/A PLUG SMT"
"10117835-002LF","Amphenol FCI","609-4662-ND","J1","1","CONN USB 3.0 RCPT ST A R/A"
