"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Quantity","Description"
"GSB316441CEU","Amphenol Commercial Products","GSB316441CEUCT-ND","J2","1","USB 3.0 CONN TYPE A R/A PLUG SMT"
"10117835-002LF","Amphenol FCI","609-4662-ND","J1","1","CONN USB 3.0 RCPT ST A R/A"
"LMK325ABJ107MM-P","Taiyo Yuden","587-4317-1-ND","C2, C3","2","CAP CER 100UF 10V X5R 1210"
"C4532C0G1H104J200KA","TDK Corporation","445-2707-1-ND","C1","1","CAP CER 0.1UF 50V C0G 1812"
"SRU1048-101Y","Bourns Inc.","SRU1048-101YCT-ND","L1","1","FIXED IND 100UH 1.2A 160 MOHM"
"FBMH4532HM132-T","Taiyo Yuden","587-1759-1-ND","L2","1","FERRITE BEAD 1.3 KOHM 1812 1LN"
